"Domain","Name","DisplayName","EmailAddress"
"YnovDomain.com","Administrateur",,
"YnovDomain.com","Invit?",,
"YnovDomain.com","iuètgl",,
"YnovDomain.com","gabriel rochefort","gabriel rochefort",
"YnovDomain.com","romain olivier","romain olivier",
"YnovDomain.com","oscar simon","oscar simon",
"YnovDomain.com","sophie charpentier","sophie charpentier",
"YnovDomain.com","clement orsoni","clement orsoni",
"YnovDomain.com","olga noiret","olga noiret",
"YnovDomain.com","nicolas andrieu","nicolas andrieu",
"YnovDomain.com","nadège rousseau","nadège rousseau",
"YnovDomain.com","aline robert","aline robert",
"YnovDomain.com","raphael dubois","raphael dubois",
"YnovDomain.com","david steiner","david steiner",

