"Domain","Name","DisplayName","EmailAddress"
"YnovDomain.com","Administrateur",,
"YnovDomain.com","Invit?",,
"YnovDomain.com","DefaultAccount",,
"YnovDomain.com","theo","theo",
"YnovDomain.com","krbtgt",,
"YnovDomain.com","Theo TD. Delporte","Theo TD. Delporte",
"YnovDomain.com","user01",,
"YnovDomain.com","user02",,
"YnovDomain.com","user03",,
"YnovDomain.com","user04",,
"YnovDomain.com","user05",,
"YnovDomain.com","user06",,
"YnovDomain.com","user07",,
"YnovDomain.com","user08",,
"YnovDomain.com","user09",,
"YnovDomain.com","user10",,
"YnovDomain.com","user11",,
