"Domain","Name","DisplayName","EmailAddress"
"ynovDomaine.com","Administrateur",,
"ynovDomaine.com","Invit?",,
"ynovDomaine.com","krbtgt",,
"ynovDomaine.com","Paul PD. Decatoire","Paul PD. Decatoire",
"ynovDomaine.com","Jean JM. Michel","Jean JM. Michel",
"ynovDomaine.com","com ct. tech","com ct. tech",
"ynovDomaine.com","Dir dc. communication","Dir dc. communication",
"ynovDomaine.com","comtable ctb. ctb","comtable ctb. ctb",
"ynovDomaine.com","cummunication com. com","cummunication com. com",
"ynovDomaine.com","sso ss. sso","sso ss. sso",
"ynovDomaine.com","sp sp. sp","sp sp. sp",
"ynovDomaine.com","commercial cse. cse","commercial cse. cse",
"ynovDomaine.com","r?f rsp. ssp","r?f rsp. ssp",
"ynovDomaine.com","dir dssa. ssa","dir dssa. ssa",
"ynovDomaine.com","dir dsso. sso","dir dsso. sso",
"ynovDomaine.com","se se. se","se se. se",
