"Domain","Name","DisplayName","EmailAddress"
"ynovDomaine.com","Administrateur",,
"ynovDomaine.com","Invit?",,
"ynovDomaine.com","krbtgt",,
"ynovDomaine.com","Thomas TP. Pesquet","Thomas TP. Pesquet",
"ynovDomaine.com","By Powershell",,
"ynovDomaine.com","user_paris_ouest1",,
"ynovDomaine.com","user_paris_ouest2",,
"ynovDomaine.com","user_lyon",,
"ynovDomaine.com","user_toulouse1",,
"ynovDomaine.com","user_toulouse2",,
"ynovDomaine.com","user_aix",,
"ynovDomaine.com","user_paris_ouest",,
"ynovDomaine.com","user_lille",,
"ynovDomaine.com","user_nice",,
"ynovDomaine.com","user_montpellier",,
