"Domain","Name","DisplayName","EmailAddress"
"YnovNL.com","Administrateur",,
"YnovNL.com","Invit?",,
"YnovNL.com","krbtgt",,
"YnovNL.com","Thomas pesquet",,
"YnovNL.com","Thomas pesquiet",,
"YnovNL.com","Thomas vincent",,
"YnovNL.com","Lechat No?",,
"YnovNL.com","Martin Pierre",,
"YnovNL.com","Blond Camille",,
"YnovNL.com","Lelong Jean",,
"YnovNL.com","Metayer Julie",,
"YnovNL.com","Fort Axel",,
"YnovNL.com","Leduc Etienne",,
"YnovNL.com","Boissier Rose",,
"YnovNL.com","Klein Johan",,
"YnovNL.com","Bouchet Xavier",,
