"Domain","Name","DisplayName","EmailAddress"
"godwin.com","Administrateur",,
"godwin.com","Invit?",,
"godwin.com","krbtgt",,
"godwin.com","godwin1 go1. oblasse1","godwin1 go1. oblasse1",
"godwin.com","godwin2 go2. oblasse2","godwin2 go2. oblasse2",
"godwin.com","godwin3 go3. oblasse3","godwin3 go3. oblasse3",
"godwin.com","godwin4 go4. oblasse4","godwin4 go4. oblasse4",
"godwin.com","godwin5 go5. oblasse5","godwin5 go5. oblasse5",
"godwin.com","godwin6 go6. oblasse6","godwin6 go6. oblasse6",
"godwin.com","godwin7 go7. oblasse7","godwin7 go7. oblasse7",
"godwin.com","godwin8 go8. oblasse8","godwin8 go8. oblasse8",
"godwin.com","godwin9 go9. oblasse9","godwin9 go9. oblasse9",
"godwin.com","godwin10 go10. oblasse10","godwin10 go10. oblasse10",
"godwin.com","godwin11 go11. oblasse11","godwin11 go11. oblasse11",
"godwin.com","ps_godwin1 ps_go1. ps_oblasse1","ps_godwin1 ps_go1. ps_oblasse1",
"godwin.com","ps_godwin2 ps_go2. ps_oblasse2","ps_godwin2 ps_go2. ps_oblasse2",
"godwin.com","ps_godwin3 ps_go3. ps_oblasse3","ps_godwin3 ps_go3. ps_oblasse3",
"godwin.com","ps_godwin4 ps_go4. ps_oblasse4","ps_godwin4 ps_go4. ps_oblasse4",
"godwin.com","ps_godwin5 ps_go5. ps_oblasse5","ps_godwin5 ps_go5. ps_oblasse5",
"godwin.com","ps_godwin6 ps_go6. ps_oblasse6","ps_godwin6 ps_go6. ps_oblasse6",
"godwin.com","ps_godwin7 ps_go7. ps_oblasse7","ps_godwin7 ps_go7. ps_oblasse7",
"godwin.com","ps_godwin8 ps_go8. ps_oblasse8","ps_godwin8 ps_go8. ps_oblasse8",
"godwin.com","ps_godwin9 ps_go9. ps_oblasse9","ps_godwin9 ps_go9. ps_oblasse9",
"godwin.com","ps_godwin10 ps_go10. ps_oblasse10","ps_godwin10 ps_go10. ps_oblasse10",
