"Domain","Name","DisplayName","EmailAddress"
"YnovDomain.com","Administrateur",,
"YnovDomain.com","Invit?",,
"YnovDomain.com","krbtgt",,
"YnovDomain.com","Michel MM. Manga","Michel MM. Manga",
"YnovDomain.com","Aristide Zoa","Aristide Zoa",
"YnovDomain.com","Jules JM. Matip","Jules JM. Matip",
"YnovDomain.com","Francine FB. Bodet","Francine FB. Bodet",
"YnovDomain.com","Maelle MF. Fillon","Maelle MF. Fillon",
"YnovDomain.com","Ibrahim IB. Traor?","Ibrahim IB. Traor?",
"YnovDomain.com","Patrice PL. Lumumba","Patrice PL. Lumumba",
"YnovDomain.com","Shaka SZ. Zulu","Shaka SZ. Zulu",
"YnovDomain.com","Samori ST. Tour?","Samori ST. Tour?",
"YnovDomain.com","Thomas TK. Sankara","Thomas TK. Sankara",
"YnovDomain.com","Mohamar MK. Khadafi","Mohamar MK. Khadafi",
"YnovDomain.com","Oum","Oum Nyobe",
"YnovDomain.com","Vladimir Poutine",,
"YnovDomain.com","ps_John Doe",,
"YnovDomain.com","ps_Jean Dupont",,
"YnovDomain.com","ps_Marie Curie",,
"YnovDomain.com","ps_Alan Turing",,
