"Domain","Name","DisplayName","EmailAddress"
"YnovDomain.com","Administrateur",,
"YnovDomain.com","Invit?",,
"YnovDomain.com","krbtgt",,
"YnovDomain.com","filibert albert","filibert albert",
"YnovDomain.com","unicorn sparkels","unicorn sparkels",
"YnovDomain.com","conan barbarian","conan barbarian",
"YnovDomain.com","kanelle kurkuma","kanelle kurkuma",
"YnovDomain.com","space monkey","space monkey",
"YnovDomain.com","yousouf malouf","yousouf malouf",
"YnovDomain.com","ousama benladen","ousama benladen",
"YnovDomain.com","unicorne metal","unicorn metal",
"YnovDomain.com","bernadette tapis","bernadette tapis",
"YnovDomain.com","graisn-de-ris ying","graisn-de-ris ying",
"YnovDomain.com","jean-luc melanchon","jean-luc melanchon",
